,img_name,img_path,ave_score
79,Evil-Kermit,Evil-Kermit.jpg,0.1424479765662895
80,I-Should-Buy-A-Boat-Cat,I-Should-Buy-A-Boat-Cat.jpg,0.3285665307708622
81,One-Does-Not-Simply,One-Does-Not-Simply.jpg,0.2608932655115435
82,Batman-Slapping-Robin,Batman-Slapping-Robin.jpg,0.32567728266370566
83,Captain-Picard-Facepalm,Captain-Picard-Facepalm.jpg,0.5359439889770711
84,Grandma-Finds-The-Internet,Grandma-Finds-The-Internet.jpg,0.358988617118946
85,The-Scroll-Of-Truth,The-Scroll-Of-Truth.jpg,0.33249428620926796
86,Yo-Dawg-Heard-You,Yo-Dawg-Heard-You.jpg,0.3315367438083638
87,Doge,Doge.jpg,0.2490979567026152
88,Look-At-Me,Look-At-Me.jpg,0.1407351975256969
89,Am-I-The-Only-One-Around-Here,Am-I-The-Only-One-Around-Here.jpg,0.382161334964509
90,Futurama-Fry,Futurama-Fry.jpg,0.4354512907009862
91,And-everybody-loses-their-minds,And-everybody-loses-their-minds.jpg,0.47956337638963076
92,Mocking-Spongebob,Mocking-Spongebob.jpg,0.12527798659864714
93,Sad-Pablo-Escobar,Sad-Pablo-Escobar.jpg,0.18463697505692953
94,Uncle-Sam,Uncle-Sam.jpg,0.21685928798745657
95,Back-In-My-Day,Back-In-My-Day.jpg,0.5195670871310835
96,Skeptical-Baby,Skeptical-Baby.jpg,0.21280506806637964
97,Say-That-Again-I-Dare-You,Say-That-Again-I-Dare-You.jpg,0.24675145610337876
98,Philosoraptor,Philosoraptor.jpg,0.7970621979236542
